이름,플랫폼,작가,그림,장르,상태,요일,조회수,별점,총화수,무료,무료주기,키워드,줄거리,첫화링크
흑막 약혼자가 내 꽃길을 방해한다,kakaopage,"오월비, 4랑니",혀나,로판,연재중,목,290.7만,9.9,30,3,1일,"로맨스판타지,빙의물,다정남,왕족/귀족,순정남,소유욕/독점욕,능력녀,자상녀,악녀,사이다녀,오래된연인,힐링물","신탁을 잘못 해석해 탄생한 가짜 성녀제국을 속인 사기꾼가문에서도 버림받고, 진짜 성녀를 시기해 온갖 악행을 저지르다 죽는 악녀그게 원작에서의 내 역할이었다책 속에 환생했다는 것을 알게 된 후, 나는 결심했다이 나라에서는 도저히 더럽고 치사해서 못 살겠다답은 망명뿐이야망명을 위해서는 범죄 혐의가 있어서는 안 되었기에, 나는 꽃길을 목표로 그저 착하게 살았다아무도 죽이지 않고, 아무도 시기하지 않고그런데, 뭔가 이상하다원작에서 나를 조롱해서, 내 손에 죽던 엑스트라들의 사고 소식이 매일같이 들려 온다이번엔 내가 안 그랬는데?",https://page.kakao.com/content/62932582
황녀님이 사악하셔,kakaopage,"TLB, 별다섯(ARC)","슈슈, 화솜",로판,연재중,금,"1,507만",9.9,123,4,3일,"로맨스판타지,육아물,먼치킨,성장물,환생물,초월적존재,능글남,연하남,능력남,직진남,사차원남,능력녀,상처녀,힐링물","나는 삼백 살이 넘는 마녀이지만, 믿었던 인간에게 배신당해 죽었다꼼짝없이 영혼계에 붙잡혀 있을 줄 알았는데 서로가 서로를 죽이는 황실에 황녀로 환생했다이렇게 된 이상 내가 황제가 돼야겠다 “너 내 부하가 대라”이렇게 했으니까 모두 나를 두려워하겠지, 생각했는데“한 번만 만져주면 안 돼? 네가 머리를 쓰다듬어줬다고 하면 모두가 부러워할 거야”…뭐야 왜 이래 “더 해 줘 귀여우니까”하지만 단체로 미쳤나, 싶을 정도로 내게 맹목적인 애정을 보이고 있다…나 황제 될 수 있겠지?",https://page.kakao.com/content/57280032
공포게임 남주와 감금당했다,kakaopage,억만장녀,피나타,로판,연재중,금,161.4만,9.9,27,3,3시간,"로맨스판타지,오해물,상처남,존댓말남,걸크러쉬,능력녀","공포게임 속 메이드가 되었다대저택에 갇혀 탈출하려는 남주에게 페널티를 주거나, 안내자 역할을 해주는남주의 플레이가 끝날 때까지 대충 의무만 이행하려 했는데“내가 나가기만 하면, 당신도 똑같이 가둬둘 겁니다”남주가 너무 시끄럽다이렇게 된 거 빨리 그가 탈출하도록 돕기로 했다“밥 먹자, 디트리히”“포션이야 이거 바르면 바로 나을 거야”“이번 탈출 힌트가 저기에……”다음 플레이를 위해 든든히 먹였고,남주가 다치면 빨리 다음 플레이를 하도록 포션을 주었고,대놓고 문제의 힌트도 주었다자, 이제 나갈 수 있겠지?그런데“글쎄 답을 잘 모르겠군요”머리도 잘 돌아가는 녀석이 이게 무슨 말이야?……남주가 도무지 저택에서 나갈 생각을 안 한다“네가 안 나가면 내가 나갈게”저 꼴 보기 싫은 놈을 계속 봐야 한다는 생각에 짜증이 나 홧김에 외쳤는데“당신 여기서 나갈 수 있는 것이었습니까?”그의 눈이 싸악 가라앉았다“말해두겠는데, 저는 여기서 나갈 생각이 없습니다”“뭐?”“그리고 당신도 못 나갑니다”대체 이게 어떻게 된 일이지?",https://page.kakao.com/content/63764693
이차원 용병,kakaopage,,발로,판타지,연재중,금,"4,456.3만",9.8,285,6,3시간,"게임,차원이동,레이드,빙의,시스템,노력,성장,이능력,플레이어,매니저","취직하고 싶습니까?영혼을 팔아서라도 취직하고 싶으십니까?그렇다면 잘 오셨습니다취업 정보 사이트 영팔이는 영혼을 팔아서라도일자리를 구하고 싶은 이, 바로 당신을 위한 곳입니다천사인가, 악마인가서른 살 백수 강철호는 정체 모를 그들과 계약을 했다영혼을 팔아서라도 돈, 그놈의 돈을 벌기 위해다른 차원의 계약자들에게 빙의하여,그들이 가장 절망하던 순간의 삶을 바꾸는 것그것이 강철호에게 주어진 사명, 미션(Mission)이다************************************************소설에서 다 풀지 못했던 이야기가지금 여기에서 펼쳐집니다[시즌1] 만화 김재환 [시즌2, 3] 만화 발로 [로고 및 표지 디자인] 디자인그룹 헌드레드************************************************웹툰 [이차원 용병]은 매주 금요일, 주1회 연재됩니다",https://page.kakao.com/content/50465822
부모님을 죽인 원수와 결혼했습니다,kakaopage,어기죽,어기죽,로판,일시적 휴재,금,295.3만,9.7,41,42,,"로맨스판타지,오해물,암투물,우연한만남,소유욕/독점욕,왕족/귀족,능력녀,외유내강,금단의관계,쌍방삽질,권선징악","항상 변치 않는 나의 영지에서진실로 사랑하는 사람과영원히 함께 할 수 있길 바란내 소원이 이루어진 생애 최고의 날그날이 내 생애 가장 비극적인 날이 되리라곤 상상조차 하지 못했다""왜 날 살려두었나요""""내가 그대를 사랑하기 때문입니다 루니에""사랑?내 부모님을 죽이고 가문의 영지를 빼앗은, 내 연인의 목숨을 쥐고 내 순정을 짓밟은 그가 사랑을 입에 담는다절대 용서할 수 없어반드시 이자가 저지른 악행을 알리고 죗값을 받게 하겠어",https://page.kakao.com/content/62042952
백작 영애의 애인을 꼬셔라,kakaopage,DIAN,MQ,로판,연재중,금,167.1만,9.9,72,4,3일,"로맨스판타지,타임슬립,오해물,성장물,회귀물,우연한만남,운명,천재,트라우마,다정남,카리스마남,능력남,능력녀,상처녀,계약관계","18살 마탑에 갇혀 황제에게 이용만 당하다가 회귀한 리델 크로스이번 생에는 절대 마법과 관련 없는 평범한 삶을 살 것이라 다짐하며, 백작가의 메이드가 되는 것까지는 좋았는데백작은 리델에게 밀레나 아가씨의 애인으로 소문난 그레이엄을 꼬셔 떼어내라는 명령을 내린다하지만 떼어내라는 놈이 회귀 전 황제와 너무 똑같이 생겨서 적응 안 되는 그레이엄? 얼굴만 봐도 벌벌 떨리는데 저 사람을 꼬시라니요",https://page.kakao.com/content/60221045
독보소요,kakaopage,,,무협,연재중,목,399만,9.3,344,5,2일,"퓨전,노력,먼치킨,무림,생존,성장,천재,검","하늘에서 뚝 떨어진 사내, 강지훈안 씨 가문의 아가씨, 안지연의 데릴사위가 되다?낯선 땅에 떨어지자마자 혼례를 올리게 된 지훈은 천화종의 장로에게 목숨을 위협받게 된다 기지를 발휘해 아수라장을 빠져나갔지만 사방에 위험이 도사리고 있는 그에게 믿을 건 수련 뿐밤낮없이 수련했지만 성과를 얻지 못한 그는 우연히 안 씨가문 내전에 의해지하궁으로 빠지게 되고 그곳에서 모든 이들이 탐내는 보물 '황금천서'를 발견한다 황금천서를 얻은 지훈, 그는 과연 천하제일의 고수가 되어 강호를 주름잡을 수 있을 것인가",https://page.kakao.com/content/54667189
공녀고 나발이고 집에 간다고,kakaopage,물길,휴즈독,로판,연재중,수,231.2만,9.9,23,3,3시간,"로맨스판타지,빙의물,여주판타지,운명,개그물,로맨틱코미디,성장물,초월적존재,까칠남,능글남,다정남,츤데레남,엉뚱발랄녀,걸크러쉬,치유물","로또에 당첨된 걸 확인하고 회사를 때려치우려고 했는데판타지 세상 속 공녀의 몸으로 들어와 버렸다당첨금 수령 기간은 1년무슨 수를 써서라도 그 전까진 집에 돌아가야 한다17억아, 엄마 금방 갈게 기다려아니, 그런데 이 가족들이 왜 이래?“널 사랑한단다”저 아저씨 딸 아닌데요“내 동생, 우리 막내 다칠 수 있으니까 내가 들어 줄게”그게 나를 들어 올린다는 뜻이었어? 뭐야, 이 거대 불곰은“한 번만 더 내 동생에게 까불었다간, 쥐도 새도 모르게 없애 주지”넌 얼굴도 예쁜 애가 무슨 말을 그렇게 험악하게 하니“너는 좀 아프지 마라”나한테 신경 꺼 뭔 오빠들이 이렇게 많아저 공녀 아니라고요 나 좀 내버려 둬 집에 가게",https://page.kakao.com/content/63855892
황제와 함께 타락하겠습니다,kakaopage,Tenichi,,로판,연재중,수,455.8만,9.8,97,4,1일,"로맨스판타지,복수물,회귀물,능글남,능력남,집착남,냉정남,능력녀,걸크러쉬,계략녀,사이다녀,삼각관계,드라마","""너도 타락하는 거다 그럼 모든 것을 이루어 주지""만약 그때 그의 손을 맞잡고 얌전히 정부가 되었다면, 나도 조금은 연명할 수 있었을까 적어도 눈이 도려내지는 아픔은 몰랐겠지   ""거절하겠어 난 조국을 배신하지 않아"" 10년이라는 시간을 회귀해 당신의 옆에 섰을 때 비로소 깨달았다 추락할 대로 추락한 우리는 아주 많이 닮아 있었고, 그게 당신이 내게 손을 내민 이유였다는 걸==============================글 : http://straightedgejp/그림 : https://sorajimajp/",https://page.kakao.com/content/60392503
나는 될 놈이다,kakaopage,,서윤교,판타지,연재중,수,"2,034.9만",9.8,206,3,3시간,"게임,깽판,방송,먼치킨,시스템,천재,고인물,대장장이/생산직,테이밍,성직자,만능","모든 걸 완벽하게 소화하며 잘하기에 주인공은 어디서든 될 수 밖에 없는 인재, 그렇기 때문에 게임 안에서 아무도 하지 않는 기행을 하며 정점을 노린다 될 놈은 되게 되어있다 엄청난 행운으로 불가능한 퀘스트도 주인공의 행운에는 속수무책 행운으로 게임을 정복한다",https://page.kakao.com/content/53159236
