이름,플랫폼,작가,그림,장르,상태,요일,좋아요,별점,총화수,무료,줄거리,첫화링크
당신이 원하는 게 제 심장인가요,naverseries,일각수,메엔,순정,완결,금,1,8.9,80,2화,"[바다의 이종족과 인간 제국 간의 전란이 오래 지속되고 있는 세상]인간과 바다 종족 간의 휴전 조약의 증표로 인간 제국에 인질로 보내진 코델리아그러나 성년이 되던 날 인간 황제로부터 심장이 도려내져서 죽임을 당한다숨이 끊어지기 직전, 우연히 회귀하게 된 코델리아는 자신이 살해당한 이유에 엄청난 비밀이 있었다는 것을 알게 되고,같은 결말을 피하고자 황제에게 거래를 제안해 황궁을 탈출하려 하는데접기",https://series.naver.com/comic/detail.series?productNo=9913494&sortOrder=DESC#priceInfo
독보소요,naverseries,,요요,소년,연재중,목,5,8.9,344,5화,"하늘에서 뚝 떨어진 사내, 강지훈안 씨 가문의 아가씨, 안지연의 데릴사위가 되다?낯선 땅에 떨어지자마자 혼례를 올리게 된 지훈은 천화종의 장로에게 목숨을 위협받게 된다기지를 발휘해 아수라장을 빠져나갔지만 사방에 위험이 도사리고 있는 그에게 믿을 건 수련 뿐밤낮없이 수련했지만 성과를 얻지 못한 그는 우연히 안 씨가문 내전에 의해지하궁으로 빠지게 되고 그곳에서 모든 이들이 탐내는 보물 '황금천서'를 발견한다황금천서를 얻은 지훈, 그는 과연 천하제일의 고수가 되어 강호를 주름잡을 수 있을 것인가접기",https://series.naver.com/comic/detail.series?productNo=5280102&sortOrder=DESC#priceInfo
토마토가 돼라!,naverseries,,뮤리,순정,일시적 휴재,일,31,10.0,65,60화,껄렁한 겉모습으로 인해 음험한 소문을 몰고 다니는 시골 토박이 전학생 신이석은 첫눈에 반한 전교 1등 수재 조해주의 앙큼한 비밀을 목격하게 되고그에 대한 의문은 점차 눈덩이처럼 불어나기만 한다겉만 번지르르 붉고 속은 흰 사과 같은 조해주에게 진성 토마토 신이석의 짝사랑 폭격이 시작된다접기,https://series.naver.com/comic/detail.series?productNo=9345043&sortOrder=DESC#priceInfo
마황귀환록,naverseries,,소명태극,무협,연재중,화,7,7.8,259,8화,"한 때, 구유 대제라 불리었던 적소 대왕, 고천랑선계와 마계 그리고 저승까지 평정했던 그였지만천계의 벌을 받아 죽을 위기에 놓이게 된다하지만, 자신의 법보였던 적멸고옥 덕분에 살아남게 되었고 적염령에서 깨어났을 때,그가 천계의 벌을 받음으로부터 몇 백년의 세월이 지난 뒤였다본래의 힘을 잃고 인간이 된 그였지만 자신을 벌한 천계에 복수하기 위해 여정을 떠난다접기",https://series.naver.com/comic/detail.series?productNo=5695043&sortOrder=DESC#priceInfo
100만 년 만에 귀환하다,naverseries,삼계동화,삼계동화,무협,연재중,화,3,7.0,219,6화,"멀고도 아득한 세월, 백만 년 대륙이 갈라지고 끝없는 전쟁이 일어나는 동안 마강진은 속박의 땅에 갇혀있었다 해방되어 세상에 나온 그는 제자들이 그의 몸을 되찾기 위해 목숨을 내걸었다는 것을 알 수 있었고, 이에 복수를 다짐한다 우선 근처 문파에 의탁해 수련하며 실력을 기르기로 하는데, 마침 근처에 자신의 제자가 세운 문파, 영계종이 있다는 사실을 알게된다 제자가 없는 세월 동안 몰락 직전까지 간 영계종 마강진은 먼저 영계종으로 들어가 그곳을 부흥시키기로 한다 그러면서 그는 갇혀 있던 세월 동안의 실마리를 차근차근 풀어나가기 시작하는데접기",https://series.naver.com/comic/detail.series?productNo=8602428&sortOrder=DESC#priceInfo
사상 최강 남주,naverseries,ruohong,ruohong,무협,연재중,화,2,9.0,233,5화,"이세계 무협 세계관에 빙의한 주인공, 조강유그는 빙의하자마자 99번의 납치,32번의 죽을 고비를 넘긴다갖은 위기 속에서겨우 목숨을 부지한 그는 우연히'소요문(逍謠門)'에 들어가게 되고…""그런데, 알고보니 내가 이세계 최강자?""라는 설정처럼 엄청난 자질을 갖고 있다는 걸깨닫게 되는데…접기",https://series.naver.com/comic/detail.series?productNo=8612332&sortOrder=DESC#priceInfo
환생불사,naverseries,,ciweimao,무협,연재중,화,6,9.2,155,4화,"과로사로 죽어버린 줄만 알았는데 눈을 떠보니 웬 무협 세계가?이대로 새 인생을 사는가 싶었더니 자칭 '잉여승천 시스템'이 나타나 열심히 살지 말고 잉여롭게 살다 죽어야만 다음 생에 최강이 될 수 있단다 단, 고의적인 사망은 제외안 돼 최강이 되어 삼천 후궁들을 맞이하려 했더니만잠깐, 그렇다는 건 피치 못하게 죽으면 돼좋아 그럼 어디 한번 열심히 죽어보자접기",https://series.naver.com/comic/detail.series?productNo=8226719&sortOrder=DESC#priceInfo
좀비묵시록 82-08,naverseries,달아,경우,소년,일시적 휴재,일,13,9.2,48,40화,탕-의문의 선박 속'그것'으로부터 시작된 괴이한 전염병은서울을 죽음의 도시로 만들어버린다예고 없이 닥쳐온 심판의 그날부터세상의 모든 질서는 완전히 리셋되었다처절한 생존 경쟁 속에서프로젝트명 [좀비묵시록 82-08]이 시작된다접기,https://series.naver.com/comic/detail.series?productNo=10100875&sortOrder=DESC#priceInfo
내가 왜 킬러?!,naverseries,규잉,규잉,소년,연재중,일,3,10.0,24,19화,"뜻하지 않게 언더커버 요원이 된 '조', 본래 목표였던 사무직으로 옮겨가기 위해선 이번 임무를 완수해야 한다 바로 범죄조직 산하의 극악무도한 킬러 집단 '들개들' 잠입수사 무시무시한 킬러들에게서 정보를 빼내기 위해 같은 킬러로 위장하고 숨어들었지만 어째선지 조의 킬러로서의 명망이 점점 높아지는데우당탕탕 코믹 잠입수사기접기",https://series.naver.com/comic/detail.series?productNo=10586946&sortOrder=DESC#priceInfo
수상한 다이어트 클럽,naverseries,스프링,스프링,드라마,연재중,일,7,9.4,11,6화,"모태 통통 ‘고양순’은 부모님의 등쌀에 못이겨 박박사 다이어트 클럽에 입소한다 어딘가 수상해 보이는 박박사지만, 그녀의 이력 만큼은 누구보다 확실하다 성공률 100%를 자랑하는 이곳의 퇴소 조건은 단 하나, ‘목표 체중을 다 감량해야만 하는 것'  과연 100kg가 넘는 양순 역시 다이어트에 성공, 웃으며 이곳을 나설 수 있을까?접기",https://series.naver.com/comic/detail.series?productNo=10877028&sortOrder=DESC#priceInfo
신은 주사위 놀이를 하는가?,naverseries,황동,SECAN STUDIO,소년,연재중,일,9,9.5,42,3화,"어느날 갑자기 신들의 게임에 소환된 도시최율은 첫지급 보상으로 모든 게임의 공략을 보여주는'독식의 제물 크라시나 서'를 습득한다그러나, 아이템의 능력은 공략을 공유한 모든 이들의보상을 독식하는 것양날 검의 아이템을 얻은 최율은 이 게임에서끝까지 살아남을 수 있을 것인가접기",https://series.naver.com/comic/detail.series?productNo=10264125&sortOrder=DESC#priceInfo
달이 뜨지 않는 도시,naverseries,뚱귤,뚱귤,소년,연재중,일,2,10.0,9,5화,"불행한 삶을 사는 여고생 하정의 유일한 낙은 인플루언서 ‘달달룬’의 일상을 훔쳐보는 것이다하정은 그녀에게 집착 수준의 애정을 갖고 집안 월패드까지 해킹해서 아주 사적인 삶조차 샅샅이 훔쳐본다 평소와 같이 달달룬의 방을 훔쳐보던 어느날 하정은 달달룬의 죽음을 목격하게 되고, 다음날 죽은 그녀의 몸에 빙의된 자신을 발견하게 되는데…2023 지상최대공모전 1기 우수상 수상작접기",https://series.naver.com/comic/detail.series?productNo=10922761&sortOrder=DESC#priceInfo
